,year,team,nickname
512,2025,Misericordia,Cougars
513,2025,Mississippi Col.,Choctaws
514,2025,Mississippi St.,Bulldogs
515,2025,Mississippi Val.,Delta Devils
516,2025,Missouri,Tigers
517,2025,Missouri S&T,Miners
518,2025,Missouri St.,Bears
519,2025,MIT,Engineers
520,2025,Mitchell,Mariners
521,2025,Mo. Southern St.,Lions
522,2025,Mo.-St. Louis,Tritons
523,2025,Mo. Western St.,Griffons
524,2025,Molloy,Lions
525,2025,Monmouth,Hawks
526,2025,Monmouth (IL),Fighting Scots
527,2025,Mont. St. Billings,Yellowjackets
528,2025,Montana,Grizzlies
529,2025,Montana St.,Bobcats
530,2025,Montclair St.,Red Hawks
531,2025,Montevallo,Falcons
532,2025,Moravian,Greyhounds
533,2025,Morehead St.,Eagles
534,2025,Morehouse,Maroon Tigers
535,2025,Morgan St.,Bears
536,2025,Mount Olive,Trojans
537,2025,Mount Union,Purple Raiders
538,2025,Milwaukee Engr.,Raiders
539,2025,Mt. Aloysius,Mounties
540,2025,Mount St. Joseph ,Lions
541,2025,Mt. St. Mary (NY),Knights
542,2025,Mt. St. Mary's,Mountaineers
543,2025,Mt. St. Vincent,Dolphins
544,2025,Muhlenberg,Mules
545,2025,Murray St.,Racers
546,2025,Muskingum,Fighting Muskies
547,2025,Navy,Midshipmen
548,2025,Nazareth,Golden Flyers
549,2025,North Carolina A&T,Aggies
550,2025,North Carolina Central,Eagles
551,2025,North Carolina Wesleyan ,Battling Bishops
552,2025,Neb.-Kearney,"Antelopes, Lopers"
553,2025,Omaha,Mavericks
554,2025,Neb. Wesleyan,Prairie Wolves
555,2025,Nebraska,Huskers
556,2025,Neumann,Knights
557,2025,Nevada,Wolf Pack
558,2025,New England Col.,Pilgrims
559,2025,New Hampshire,Wildcats
560,2025,New Haven,Chargers
561,2025,New Jersey City,Gothic Knights
562,2025,New Mexico,Lobos
563,2025,New Mexico St.,Aggies
564,2025,New Orleans,Privateers
565,2025,New York U.,Violets
566,2025,Newberry,Wolves
567,2025,Newman,Jets
568,2025,Niagara,Purple Eagles
569,2025,Nicholls St.,Colonels
570,2025,Nichols,Bison
571,2025,New-Jersey-Tech,Highlanders
572,2025,New-Mexico-Highlands ,Cowboys
573,2025,Norfolk St.,Spartans
574,2025,North Ala.,Lions
575,2025,North Carolina,Tar Heels
576,2025,North Carolina St.,Wolfpack
577,2025,North Central (IL),Cardinals
578,2025,North Central (MN),Rams
579,2025,North Dakota,Fighting Hawks
580,2025,North Dakota St.,Bison
581,2025,North Florida,Ospreys
582,2025,North Ga.,Nighthawks
583,2025,North Greenville,Crusaders
584,2025,North Park,Vikings
585,2025,North Texas,Mean Green
586,2025,Northeastern,Huskies
587,2025,Northeastern St.,RiverHawks
588,2025,Northern Ariz.,Lumberjacks
589,2025,Northern Colo.,Bears
590,2025,Northern Ill.,Huskies
591,2025,Northern Ky.,Norse
592,2025,Northern Mich.,Wildcats
593,2025,Northern St.,Wolves
594,2025,Northland,Lumberjacks
595,2025,Northwest Mo. St.,Bearcats
596,2025,Northwest Nazarene,Nighthawks
597,2025,Northwestern,Wildcats
598,2025,Northwestern Oklahoma,Rangers
599,2025,Northwestern St.,Demons
600,2025,Northwestern-St. Paul,Eagles
601,2025,Northwood (MI),Timberwolves
602,2025,Norwich,Cadets
603,2025,Notre Dame,Fighting Irish
604,2025,Notre Dame (OH),Falcons
605,2025,Nova Southeastern,Sharks
606,2025,New-York-Inst ,Bears
607,2025,Oakland,Golden Grizzlies
608,2025,Oberlin,Yeomen
609,2025,Occidental,Tigers
610,2025,Oglethorpe,Stormy Petrels
611,2025,Ohio,Bobcats
612,2025,Ohio Dominican,Panthers
613,2025,Ohio Northern,Polar Bears
614,2025,Ohio St.,Buckeyes
615,2025,Ohio Wesleyan,Battling Bishops
616,2025,Oklahoma Baptist University,Bison
617,2025,Oklahoma Christian,Eagles
618,2025,Oklahoma,Sooners
619,2025,Oklahoma St.,Cowboys
620,2025,Old Dominion,Monarchs
621,2025,Suny-Old-Westbury ,Panthers
622,2025,Mississippi,Rebels
623,2025,Olivet,Comets
624,2025,SUNY Oneonta,Red Dragons
625,2025,Oral Roberts,Golden Eagles
626,2025,Oregon,Ducks
627,2025,Oregon State,Beavers
628,2025,Suny-Oswego,Lakers
629,2025,Otterbein,Cardinals
630,2025,Ouachita Baptist,Tigers
631,2025,Ozarks (AR),Eagles
632,2025,Pace,Setters
633,2025,Pacific,Tigers
634,2025,Pacific Lutheran,Lutes
635,2025,Pacific (OR),Boxers
636,2025,Palm Beach Atl.,Sailfish
637,2025,Penn,Quakers
638,2025,Penn State,Nittany Lions
639,2025,Penn St.-Abington,Nittany Lions
640,2025,Penn St.-Altoona,Lions
641,2025,Penn St.-Behrend,Behrend Lions
642,2025,Penn St.-Berks,Nittany Lions
643,2025,Penn St. Brandywine,Nittany Lions
644,2025,Penn St.-Harrisburg,Lions
645,2025,Pepperdine,Waves
646,2025,Pfeiffer,Falcons
647,2025,Jefferson University ,Rams
648,2025,Piedmont,Lions
649,2025,Pitt.-Bradford,Panthers
650,2025,Pitt.-Greensburg,Bobcats
651,2025,Pitt.-Johnstown,Mountain Cats
652,2025,Pittsburg State,Gorillas
653,2025,Pittsburgh,Panthers
654,2025,Plattsburgh State,Cardinals
655,2025,Plymouth St.,Panthers
656,2025,Point Loma,Sea Lions
657,2025,Pomona-Pitzer,Sagehens
658,2025,Portland,Pilots
659,2025,Portland St.,Vikings
660,2025,Post,Eagles
661,2025,P.R.-Bayamon,Cowboys
662,2025,P.R.-Mayaguez,Tarzans
663,2025,P.R.-Rio Piedras,Gallitos
664,2025,Prairie View,Panthers
665,2025,Pratt Institute ,Cannoneers
666,2025,Presbyterian,Blue Hose
667,2025,Princeton,Tigers
668,2025,Principia,Panthers
669,2025,Providence,Friars
670,2025,Puget Sound,Loggers
671,2025,Purchase,Panthers
672,2025,Purdue,Boilermakers
673,2025,Purdue Northwest ,Pride
674,2025,Queens (NC),Royals
675,2025,Queens (NY),Knights
676,2025,Quincy,Hawks
677,2025,Quinnipiac,Bobcats
678,2025,Radford,Highlanders
679,2025,Ramapo,Roadrunners
680,2025,Randolph,WildCats
681,2025,Randolph-Macon,Yellow Jackets
682,2025,Redlands,Bulldogs
683,2025,Regis (CO),Rangers
684,2025,Regis College,Pride
685,2025,Rensselaer,Engineers
686,2025,Rhode Island,Rams
687,2025,Rhode Island Col.,Anchormen
688,2025,Rhodes,Lynx
689,2025,Rice,Owls
690,2025,Stockton,Ospreys
691,2025,Richmond,Spiders
692,2025,Rider,Broncs
693,2025,Ripon,Red Hawks
694,2025,Rivier,Raiders
695,2025,Roanoke,Maroons
696,2025,Robert Morris,Colonials
697,2025,Roberts Wesleyan,Redhawks
698,2025,Rochester Inst.,Tigers
699,2025,Rochester (NY),Yellowjackets
700,2025,Rockford,Regents
701,2025,Rockhurst,Hawks
702,2025,Roger Williams,Hawks
703,2025,Rogers State,Hillcats
704,2025,Rollins,Tars
705,2025,Rose-Hulman,Fightin' Engineers
706,2025,Rosemont,Ravens
707,2025,Rowan,Profs
708,2025,Rutgers,Scarlet Knights
709,2025,Rutgers-Camden,Scarlet Raptors
710,2025,Rutgers-Newark,Scarlet Raiders
711,2025,Sacramento St.,Hornets
712,2025,Sacred Heart,Pioneers
713,2025,Sage Colleges,Gators
714,2025,Saginaw Valley,Cardinals
715,2025,St. John's (MN),Johnnies
716,2025,Saint Joseph's,Hawks
717,2025,St. Leo,Lions
718,2025,St. Louis,Billikens
719,2025,Saint-Martins ,Saints
720,2025,St. Michael's,Purple Knights
721,2025,St. Vincent,Bearcats
722,2025,Salem,Spirits
723,2025,Salem University,Tigers
724,2025,Salem St.,Vikings
725,2025,Salisbury,Sea Gulls
726,2025,Salve Regina,Seahawks
727,2025,Sam Houston St.,Bearkats
728,2025,Samford,Bulldogs
729,2025,San Diego,Toreros
730,2025,San Diego St.,Aztecs
731,2025,San Fran. St.,Gators
732,2025,San Francisco,Dons
733,2025,San Jose St.,Spartans
734,2025,Santa Clara,Broncos
735,2025,Sarah Lawrence,Gryphons
736,2025,Savannah St.,Tigers
737,2025,South-Carolina-Aiken,Pacers
738,2025,Schreiner,Mountaineers
739,2025,Scranton,Royals
740,2025,Seattle,Redhawks
741,2025,Seattle Pacific,Falcons
742,2025,Seton Hall,Pirates
743,2025,Seton Hill,Griffins
744,2025,Sewanee,Tigers
745,2025,Shaw,Bears
746,2025,Shenandoah,Hornets
747,2025,Shepherd,Rams
748,2025,Shippensburg,Raiders
749,2025,Shorter,Hawks
750,2025,Siena,Saints
751,2025,Simon Fraser,Red Leafs
752,2025,Simpson,Storm
753,2025,Sioux Falls,Cougars
754,2025,SIUE,Cougars
755,2025,Skidmore,Thoroughbreds
