,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
5848,Col. of Charleston,65,Oregon St.,74,Col. of Charleston,50.53125,-9,41.53125
5849,Oklahoma St.,86,Oral Roberts,74,Oklahoma St.,27.897214889526367,12,39.89721488952637
5850,Milwaukee,92,North Central (IL),57,Milwaukee,,35,
5851,Kansas,87,Brown,53,Kansas,33.9765625,34,67.9765625
5852,Rice,64,Prairie View,46,Rice,24.417550086975098,18,42.4175500869751
5853,UAB,91,Alcorn,74,UAB,28.07421875,17,45.07421875
5854,LSU,86,New Orleans,70,LSU,26.507568359375,16,42.507568359375
5855,North Texas,62,Houston Christian,46,North Texas,31.0,16,47.0
5856,Georgia,81,Charleston So.,65,Georgia,29.0,16,45.0
5857,Grand Canyon,73,Saint Louis,72,Grand Canyon,40.56315994262695,1,41.56315994262695
5858,NC State,89,Rider,63,NC State,30.18145751953125,26,56.18145751953125
5859,Sacramento St.,98,Stanislaus St.,47,Sacramento St.,,51,
5860,Southern California,82,Southern U.,51,Southern California,37.886268615722656,31,68.88626861572266
5861,Cincinnati,84,Grambling,49,Cincinnati,27.69597625732422,35,62.69597625732422
5862,Long Beach St.,83,La Sierra,57,Long Beach St.,,26,
5863,Cal St. Fullerton,69,Wyoming,73,Cal St. Fullerton,39.19597625732422,-4,35.19597625732422
5864,Oakland,72,Loyola Chicago,71,Oakland,38.7574462890625,1,39.7574462890625
5865,Notre Dame,91,Le Moyne,62,Notre Dame,23.8787841796875,29,52.8787841796875
5866,LMU (CA),85,North Ala.,69,LMU (CA),43.0,16,59.0
5867,Seton Hall,60,Georgetown,61,Seton Hall,49.0,-1,48.0
5868,Saint Mary's (CA),68,Utah St.,75,Saint Mary's (CA),57.0,-7,50.0
5869,Murray St.,49,Nebraska,66,Murray St.,57.375003814697266,-17,40.375003814697266
5870,Hawaii,78,Charlotte,61,Hawaii,31.0,17,48.0
5871,Wagner,120,Penn St.-Scranton,30,Wagner,,90,
5872,Bowling Green,87,Aquinas,62,Bowling Green,,25,
5873,Loyola Chicago,68,Col. of Charleston,77,Loyola Chicago,46.56413459777832,-9,37.56413459777832
5874,Tennessee,82,Middle Tenn.,64,Tennessee,45.306640625,18,63.306640625
5875,North Dakota St.,94,CSU Bakersfield,60,North Dakota St.,36.894351959228516,34,70.89435195922852
5876,Oakland,74,Oregon St.,80,Oakland,50.53125,-6,44.53125
5877,Washington,70,Seattle U,79,Washington,37.345672607421875,-9,28.345672607421875
5878,Hawaii,55,Nebraska,69,Hawaii,57.375003814697266,-14,43.375003814697266
5879,Charlotte,94,Murray St.,90,Charlotte,41.0,4,45.0
5880,Murray St.,71,Loyola Chicago,68,Murray St.,38.7574462890625,3,41.7574462890625
5881,Charlotte,81,Col. of Charleston,84,Charlotte,46.56413459777832,-3,43.56413459777832
5882,Hawaii,73,Oakland,70,Hawaii,38.0,3,41.0
5883,Nebraska,78,Oregon St.,66,Nebraska,50.53125,12,62.53125
5884,Baylor,107,Arlington Baptist,53,Baylor,,54,
5885,Duquesne,93,Cleary,45,Duquesne,,48,
5886,Morehead St.,94,Alice Lloyd,63,Morehead St.,,31,
5887,Georgetown,83,Coppin St.,53,Georgetown,20.3856201171875,30,50.3856201171875
5888,Louisville,78,Eastern Ky.,76,Louisville,38.5,2,40.5
5889,Maryland,81,UMES,66,Maryland,22.0,15,37.0
5890,Charleston So.,95,Columbia Int'l,89,Charleston So.,,6,
5891,Saint Joseph's,76,Delaware St.,58,Saint Joseph's,31.5625,18,49.5625
5892,Georgia St.,68,Mercer,71,Georgia St.,38.0,-3,35.0
5893,DePaul,84,Loyola Maryland,65,DePaul,33.0,19,52.0
5894,Memphis,87,Ole Miss,70,Memphis,59.0,17,76.0
5895,Georgia Tech,92,Alabama A&M,49,Georgia Tech,20.82607936859131,43,63.82607936859131
5896,Wofford,100,Ky. Christian,55,Wofford,,45,
5897,UNCW,99,Spartanburg Meth.,47,UNCW,,52,
5898,Syracuse,75,Bucknell,63,Syracuse,36.25688362121582,12,48.25688362121582
5899,N.C. A&T,85,N.C. Central,72,N.C. A&T,31.5078125,13,44.5078125
5900,Davidson,86,Eastern Mich.,64,Davidson,25.0,22,47.0
5901,George Mason,64,Mount St. Mary's,56,George Mason,37.4375,8,45.4375
5902,Eastern Ill.,99,Blackburn,55,Eastern Ill.,,44,
5903,South Fla.,106,Webber Int'l,49,South Fla.,,57,
5904,Colorado St.,68,New Mexico,76,Colorado St.,49.0,-8,41.0
5905,Sam Houston,111,Dallas,65,Sam Houston,,46,
5906,Boston College,78,FDU,70,Boston College,30.0,8,38.0
5907,Texas A&M,92,Abilene Christian,54,Texas A&M,31.8193359375,38,69.8193359375
5908,Columbia,85,Fairfield,72,Columbia,31.90625,13,44.90625
5909,Hampton,83,Howard,67,Hampton,33.201011657714844,16,49.201011657714844
5910,UCLA,65,Gonzaga,62,UCLA,60.60603332519531,3,63.60603332519531
5911,Wyoming,66,Nevada,63,Wyoming,50.19791030883789,3,53.19791030883789
5912,Old Dominion,82,Va. Wesleyan,44,Old Dominion,,38,
5913,UNC Greensboro,105,Virginia-Lynchburg,50,UNC Greensboro,-18.04022216796875,55,36.95977783203125
5914,Utah Valley,119,Bethesda (CA),59,Utah Valley,,60,
5915,Tulsa,96,Southwestern Christ.,63,Tulsa,,33,
5916,McNeese,86,New Orleans,61,McNeese,26.507568359375,25,51.507568359375
5917,San Jose St.,71,Boise St.,73,San Jose St.,50.53125,-2,48.53125
5918,Cal St. Fullerton,93,Nobel,60,Cal St. Fullerton,,33,
5919,Richmond,57,FGCU,75,Richmond,40.40625,-18,22.40625
5920,San Diego St.,66,Utah St.,67,San Diego St.,57.0,-1,56.0
5921,St. John's (NY),97,Delaware,76,St. John's (NY),37.121315002441406,21,58.121315002441406
5922,New Mexico St.,85,Southwest (NM),52,New Mexico St.,,33,
5923,San Diego,55,Grand Canyon,68,San Diego,44.5,-13,31.5
5924,UC San Diego,109,Occidental,51,UC San Diego,,58,
5925,Santa Clara,91,Pepperdine,80,Santa Clara,37.52598190307617,11,48.52598190307617
5926,Elon,73,Marshall,59,Elon,40.74160385131836,14,54.74160385131836
5927,UC Davis,109,Cal Maritime,46,UC Davis,,63,
5928,UC Santa Barbara,89,Westcliff,72,UC Santa Barbara,,17,
5929,Texas Southern,103,Biblical Stud. (TX),68,Texas Southern,,35,
5930,California Baptist,79,Jackson St.,73,California Baptist,33.06773376464844,6,39.06773376464844
5931,Saint Mary's (CA),70,Pacific,60,Saint Mary's (CA),33.000003814697266,10,43.000003814697266
5932,Saint Louis,78,William Woods,57,Saint Louis,,21,
5933,Omaha,81,Mt. Marty,51,Omaha,,30,
5934,Portland,73,Washington St.,89,Portland,48.521002769470215,-16,32.521002769470215
5935,CSUN,87,La Sierra,52,CSUN,,35,
5936,UTEP,79,Northern N.M.,60,UTEP,,19,
5937,San Francisco,70,LMU (CA),55,San Francisco,37.18318176269531,15,52.18318176269531
5938,UNLV,87,Fresno St.,77,UNLV,33.3125,10,43.3125
5939,Ohio St.,103,Indiana St.,83,Ohio St.,37.97263717651367,20,57.97263717651367
5940,Texas,77,Northwestern St.,53,Texas,37.26023864746094,24,61.26023864746094
5941,Iona,61,Harvard,67,Iona,35.31565475463867,-6,29.315654754638672
5942,William & Mary,82,Navy,76,William & Mary,33.2579345703125,6,39.2579345703125
5943,Central Conn. St.,100,JWU (Providence),51,Central Conn. St.,,49,
5944,Lafayette,65,Stonehill,70,Lafayette,29.0,-5,24.0
5945,Florida,85,Stetson,45,Florida,28.75,40,68.75
5946,Penn St.,86,Penn,66,Penn St.,28.734375,20,48.734375
5947,Quinnipiac,75,Hofstra,69,Quinnipiac,41.339805603027344,6,47.339805603027344
5948,Northwestern,85,Northeastern,60,Northwestern,37.03664207458496,25,62.03664207458496
5949,Holy Cross,82,Regis (MA),46,Holy Cross,,36,
5950,Green Bay,67,Purdue Fort Wayne,83,Green Bay,44.45025634765625,-16,28.45025634765625
5951,Milwaukee,88,IU Indy,81,Milwaukee,30.29658031463623,7,37.29658031463623
5952,Minnesota,90,Morgan St.,68,Minnesota,25.521320343017578,22,47.52132034301758
5953,UAlbany,77,Stony Brook,70,UAlbany,28.24609375,7,35.24609375
5954,Marist,69,Binghamton,51,Marist,28.0078125,18,46.0078125
5955,Maine,56,Boston U.,59,Maine,35.907470703125,-3,32.907470703125
5956,Youngstown St.,73,Detroit Mercy,64,Youngstown St.,31.45989990234375,9,40.45989990234375
5957,Georgia,79,South Carolina St.,72,Georgia,34.375,7,41.375
5958,Sacred Heart,100,Manhattanville,60,Sacred Heart,,40,
5959,Kennesaw St.,112,Brewton-Parker,77,Kennesaw St.,,35,
5960,High Point,74,Norfolk St.,77,High Point,41.138671875,-3,38.138671875
5961,Niagara,88,Le Moyne,69,Niagara,23.8787841796875,19,42.8787841796875
5962,SMU,98,Longwood,82,SMU,36.133544921875,16,52.133544921875
5963,UNI,78,Southern Ill.,67,UNI,35.197919845581055,11,46.197919845581055
5964,Illinois,117,Chicago St.,64,Illinois,20.447998046875,53,73.447998046875
5965,Tennessee Tech,95,Milligan,75,Tennessee Tech,,20,
5966,Oklahoma,89,Prairie View,67,Oklahoma,24.417550086975098,22,46.4175500869751
5967,Robert Morris,97,Northern Ky.,93,Robert Morris,37.904457092285156,4,41.904457092285156
5968,North Dakota,97,Waldorf,57,North Dakota,,40,
5969,Cleveland St.,78,Wright St.,64,Cleveland St.,37.999267578125,14,51.999267578125
5970,Alabama,105,South Dakota St.,82,Alabama,44.0,23,67.0
5971,Army West Point,78,UTSA,75,Army West Point,35.75,3,38.75
5972,Drake,65,Belmont,46,Drake,43.0,19,62.0
5973,Washington,90,NJIT,53,Washington,22.015625,37,59.015625
5974,Temple,91,Buffalo,71,Temple,29.031980514526367,20,49.03198051452637
5975,Southeast Mo. St.,88,Westminster (MO),39,Southeast Mo. St.,,49,
5976,Kent St.,84,Heidelberg,80,Kent St.,,4,
5977,Coastal Carolina,75,Warner,53,Coastal Carolina,,22,
5978,Lehigh,87,Neumann,67,Lehigh,,20,
5979,Evansville,57,Missouri St.,40,Evansville,34.89060592651367,17,51.89060592651367
5980,American,93,UMBC,96,American,35.610870361328125,-3,32.610870361328125
5981,Bradley,81,Valparaiso,75,Bradley,38.071725845336914,6,44.071725845336914
5982,Indiana,77,Winthrop,68,Indiana,39.75,9,48.75
5983,A&M-Corpus Christi,103,Schreiner,44,A&M-Corpus Christi,,59,
5984,James Madison,96,Midway,64,James Madison,,32,
5985,Texas St.,72,UT Arlington,80,Texas St.,33.515625,-8,25.515625
5986,UC Riverside,81,St. Thomas (MN),79,UC Riverside,40.30677032470703,2,42.30677032470703
5987,Tarleton St.,70,Florida A&M,60,Tarleton St.,25.0,10,35.0
5988,Central Ark.,87,Southwestern Christ.,69,Central Ark.,,18,
5989,Illinois St.,67,UIC,73,Illinois St.,44.3359375,-6,38.3359375
5990,Lipscomb,112,Asbury,54,Lipscomb,,58,
5991,Austin Peay,93,Brescia,46,Austin Peay,,47,
5992,Oregon,89,Weber St.,49,Oregon,35.35505676269531,40,75.35505676269531
5993,Wichita St.,87,Friends,72,Wichita St.,,15,
5994,Purdue,83,Toledo,64,Purdue,41.0,19,60.0
5995,UIW,99,Texas Lutheran,48,UIW,,51,
5996,LSU,110,Mississippi Val.,45,LSU,10.07421875,65,75.07421875
5997,North Carolina,97,Campbell,81,North Carolina,35.72271728515625,16,51.72271728515625
5998,Michigan,112,Western Ky.,64,Michigan,46.306640625,48,94.306640625
5999,FIU,80,Utah Tech,66,FIU,31.5,14,45.5
6000,Princeton,76,Akron,75,Princeton,43.50798988342285,1,44.50798988342285
6001,Grambling,100,Biblical Stud. (TX),55,Grambling,,45,
6002,Central Mich.,85,Cleary,39,Central Mich.,,46,
6003,UMass Lowell,101,Emerson,39,UMass Lowell,,62,
6004,Michigan St.,80,Western Mich.,62,Michigan St.,32.748046875,18,50.748046875
6005,Sacramento St.,78,Bethesda (CA),38,Sacramento St.,,40,
6006,Cornell,77,Siena,83,Cornell,33.2109375,-6,27.2109375
6007,Rutgers,91,Columbia,64,Rutgers,39.875816345214844,27,66.87581634521484
6008,UNC Asheville,95,Columbia Int'l,53,UNC Asheville,,42,
6009,Auburn,87,Monmouth,58,Auburn,32.5859375,29,61.5859375
6010,South Carolina,69,Presbyterian,59,South Carolina,36.03466796875,10,46.03466796875
6011,Lamar University,82,TAMU-San Antonio,65,Lamar University,,17,
6012,NIU,117,East-West U.,50,NIU,,67,
6013,Ohio,103,Muskingum,52,Ohio,,51,
6014,Kansas St.,70,Cincinnati,67,Kansas St.,56.36847686767578,3,59.36847686767578
6015,McNeese,79,Southeastern La.,51,McNeese,38.53125,28,66.53125
6016,Vermont,121,Elms,37,Vermont,,84,
6017,Iowa,112,New Hampshire,70,Iowa,22.375,42,64.375
6018,Miami (OH),141,Defiance,58,Miami (OH),,83,
6019,Missouri,82,Alabama St.,65,Missouri,30.0400390625,17,47.0400390625
6020,UTRGV,88,Dallas Christian,44,UTRGV,,44,
6021,Vanderbilt,100,New Orleans,56,Vanderbilt,26.507568359375,44,70.507568359375
6022,Grand Canyon,112,Bryant,66,Grand Canyon,37.56534481048584,46,83.56534481048584
6023,South Alabama,106,Mobile,41,South Alabama,,65,
6024,Arkansas,92,Oakland,62,Arkansas,38.0,30,68.0
6025,Oklahoma St.,47,Houston,60,Oklahoma St.,70.46302032470703,-13,57.46302032470703
6026,Southern Miss.,80,William Carey,70,Southern Miss.,,10,
6027,Arizona,90,TCU,81,Arizona,52.66089630126953,9,61.66089630126953
6028,Northern Ariz.,110,Benedictine Mesa,74,Northern Ariz.,,36,
6029,Jacksonville St.,111,Fort Valley St.,70,Jacksonville St.,,41,
6030,Oral Roberts,92,Tex. A&M-Texarkana,54,Oral Roberts,,38,
6031,Eastern Wash.,89,Eastern Ore.,63,Eastern Wash.,,26,
6032,Mississippi St.,87,Bethune-Cookman,73,Mississippi St.,34.56894397735596,14,48.56894397735596
6033,Colorado,69,Iowa St.,79,Colorado,67.490234375,-10,57.490234375
6034,Nebraska,77,Southern U.,43,Nebraska,37.886268615722656,34,71.88626861572266
6035,Washington St.,73,LMU (CA),59,Washington St.,37.18318176269531,14,51.18318176269531
6036,Oregon St.,89,Portland,79,Oregon St.,30.397907257080078,10,40.39790725708008
6037,California Baptist,63,UC Irvine,71,California Baptist,53.25519371032715,-8,45.25519371032715
6038,Pepperdine,82,Gonzaga,89,Pepperdine,60.60603332519531,-7,53.60603332519531
6039,San Francisco,97,Santa Clara,94,San Francisco,48.5950927734375,3,51.5950927734375
6040,San Diego,75,Pacific,65,San Diego,33.000003814697266,10,43.000003814697266
6041,Seattle U,69,Nicholls,71,Seattle U,38.32915496826172,-2,36.32915496826172
6042,Virginia,70,NC State,67,Virginia,48.26335144042969,3,51.26335144042969
6043,Kansas,61,West Virginia,62,Kansas,57.873186111450195,-1,56.873186111450195
6044,Ball St.,89,Anderson (IN),76,Ball St.,,13,
6045,Fordham,63,Saint Louis,88,Fordham,40.56315994262695,-25,15.563159942626953
6046,Xavier,94,Seton Hall,72,Xavier,42.18145751953125,22,64.18145751953125
6047,St. Bonaventure,77,VCU,75,St. Bonaventure,52.91224479675293,2,54.91224479675293
6048,Baylor,81,Utah,56,Baylor,54.91191482543945,25,79.91191482543945
6049,George Mason,69,Davidson,57,George Mason,44.52786827087402,12,56.52786827087402
6050,Syracuse,71,Wake Forest,81,Syracuse,44.25,-10,34.25
6051,Duquesne,67,Rhode Island,55,Duquesne,46.292715072631836,12,58.292715072631836
6052,Dayton,84,La Salle,70,Dayton,45.20273303985596,14,59.20273303985596
6053,Texas Tech,83,UCF,87,Texas Tech,47.77423095703125,-4,43.77423095703125
6054,Charlotte,68,Tulane,83,Charlotte,39.40625,-15,24.40625
6055,Saint Joseph's,81,Massachusetts,72,Saint Joseph's,39.0,9,48.0
6056,Kentucky,88,Brown,54,Kentucky,33.9765625,34,67.9765625
6057,Georgia Tech,86,Notre Dame,75,Georgia Tech,49.0,11,60.0
6058,N.C. Central,121,St. Andrews,61,N.C. Central,,60,
6059,Tennessee,67,Norfolk St.,52,Tennessee,41.138671875,15,56.138671875
6060,South Fla.,75,East Carolina,69,South Fla.,39.5,6,45.5
6061,Air Force,58,UNLV,77,Air Force,46.0,-19,27.0
6062,Richmond,66,George Washington,61,Richmond,40.943687438964844,5,45.943687438964844
6063,Abilene Christian,57,SFA,62,Abilene Christian,35.5,-5,30.5
6064,BYU,76,Arizona St.,56,BYU,52.98872375488281,20,72.98872375488281
6065,Creighton,57,St. John's (NY),56,Creighton,57.9224910736084,1,58.9224910736084
6066,North Texas,78,UAB,75,North Texas,44.797149658203125,3,47.797149658203125
6067,Duke,88,Virginia Tech,65,Duke,44.0,23,67.0
6068,Portland St.,96,Walla Walla,39,Portland St.,,57,
6069,San Jose St.,50,Colorado St.,72,San Jose St.,45.25,-22,23.25
6070,Providence,50,Marquette,78,Providence,61.0,-28,33.0
6071,Fresno St.,89,New Mexico,103,Fresno St.,49.0,-14,35.0
6072,Southern Ind.,68,Morehead St.,70,Southern Ind.,31.698020935058594,-2,29.698020935058594
6073,Wyoming,58,Boise St.,67,Wyoming,50.53125,-9,41.53125
6074,Nevada,64,Utah St.,69,Nevada,57.0,-5,52.0
6075,Northern Ky.,69,Purdue Fort Wayne,68,Northern Ky.,44.45025634765625,1,45.45025634765625
6076,Boston College,78,Miami (FL),68,Boston College,41.625,10,51.625
6077,ETSU,84,VMI,69,ETSU,31.4375,15,46.4375
6078,IU Indy,61,Youngstown St.,77,IU Indy,37.60734558105469,-16,21.607345581054688
6079,Wofford,66,UNC Greensboro,68,Wofford,43.61507034301758,-2,41.61507034301758
6080,Western Caro.,61,Furman,90,Western Caro.,45.0,-29,16.0
6081,Yale,93,Howard,65,Yale,33.201011657714844,28,61.201011657714844
6082,DePaul,68,UConn,81,DePaul,60.875,-13,47.875
6083,Pittsburgh,86,California,74,Pittsburgh,43.625,12,55.625
6084,Southern Ill.,53,Evansville,68,Southern Ill.,31.3125,-15,16.3125
6085,UIC,74,Drake,70,UIC,48.5859375,4,52.5859375
6086,Mercer,99,Chattanooga,94,Mercer,40.09202003479004,5,45.09202003479004
6087,Tulsa,64,Rice,70,Tulsa,39.31210708618164,-6,33.31210708618164
6088,Clemson,85,Stanford,71,Clemson,48.0,14,62.0
6089,Louisville,83,North Carolina,70,Louisville,55.800048828125,13,68.800048828125
6090,Dartmouth,108,Colby-Sawyer,55,Dartmouth,,53,
6091,Butler,65,Villanova,73,Butler,52.3607063293457,-8,44.3607063293457
6092,Indiana St.,89,Bradley,90,Indiana St.,46.970703125,-1,45.970703125
6093,Samford,86,The Citadel,56,Samford,26.302054405212402,30,56.3020544052124
6094,Missouri St.,72,Valparaiso,73,Missouri St.,38.071725845336914,-1,37.071725845336914
6095,UNI,76,Belmont,70,UNI,43.0,6,49.0
6096,Charleston So.,72,Gardner-Webb,63,Charleston So.,36.95703125,9,45.95703125
6097,Presbyterian,68,Longwood,60,Presbyterian,36.133544921875,8,44.133544921875
6098,North Florida,89,Austin Peay,97,North Florida,27.802383422851562,-8,19.802383422851562
6099,Winthrop,95,USC Upstate,76,Winthrop,27.60736083984375,19,46.60736083984375
6100,Holy Cross,74,Loyola Maryland,72,Holy Cross,33.0,2,35.0
6101,App State,61,Troy,69,App State,44.91935348510742,-8,36.91935348510742
6102,Col. of Charleston,94,Hampton,67,Col. of Charleston,39.1875,27,66.1875
6103,Marshall,77,Texas St.,71,Marshall,42.94099426269531,6,48.94099426269531
6104,Wright St.,74,Green Bay,51,Wright St.,26.0,23,49.0
6105,Georgia St.,51,South Alabama,77,Georgia St.,44.60335159301758,-26,18.603351593017578
6106,N.C. A&T,67,Elon,75,N.C. A&T,45.33986282348633,-8,37.33986282348633
6107,Ga. Southern,90,ULM,82,Ga. Southern,25.25,8,33.25
6108,Oakland,65,Milwaukee,49,Oakland,40.72235107421875,16,56.72235107421875
6109,Navy,81,American,58,Navy,39.29530048370361,23,62.29530048370361
6110,Northeastern,80,Delaware,77,Northeastern,37.121315002441406,3,40.121315002441406
6111,UNCW,61,Towson,65,UNCW,41.038469314575195,-4,37.038469314575195
6112,Old Dominion,59,Arkansas St.,78,Old Dominion,44.92603874206543,-19,25.92603874206543
6113,West Ga.,68,FGCU,79,West Ga.,40.40625,-11,29.40625
6114,Hofstra,56,William & Mary,74,Hofstra,36.697662353515625,-18,18.697662353515625
6115,Liberty,70,Western Ky.,71,Liberty,46.306640625,-1,45.306640625
6116,James Madison,83,Southern Miss.,72,James Madison,34.387901306152344,11,45.387901306152344
6117,Colgate,71,Army West Point,59,Colgate,32.4375,12,44.4375
6118,Fla. Atlantic,62,Memphis,90,Fla. Atlantic,57.69190216064453,-28,29.69190216064453
6119,Penn St.,84,Northwestern,80,Penn St.,51.85548400878906,4,55.85548400878906
6120,Detroit Mercy,78,Robert Morris,76,Detroit Mercy,38.625,2,40.625
6121,Coastal Carolina,68,Louisiana,71,Coastal Carolina,32.498046875,-3,29.498046875
6122,Monmouth,78,Stony Brook,56,Monmouth,28.24609375,22,50.24609375
6123,Lehigh,66,Bucknell,64,Lehigh,36.25688362121582,2,38.25688362121582
6124,Campbell,57,Drexel,54,Campbell,39.359375,3,42.359375
6125,Lafayette,60,Boston U.,46,Lafayette,35.907470703125,14,49.907470703125
6126,Queens (NC),96,Stetson,87,Queens (NC),28.75,9,37.75
6127,FIU,69,Middle Tenn.,73,FIU,45.306640625,-4,41.306640625
6128,North Ala.,82,Bellarmine,66,North Ala.,24.193302154541016,16,40.193302154541016
6129,Jacksonville,65,Lipscomb,70,Jacksonville,47.21303939819336,-5,42.21303939819336
6130,High Point,76,Radford,58,High Point,38.037353515625,18,56.037353515625
6131,Cal Poly,89,UC Irvine,98,Cal Poly,53.25519371032715,-9,44.25519371032715
6132,Northern Ariz.,67,Idaho St.,72,Northern Ariz.,41.890663146972656,-5,36.890663146972656
6133,Kansas City,68,South Dakota,54,Kansas City,35.0,14,49.0
6134,North Dakota,85,Omaha,95,North Dakota,38.022769927978516,-10,28.022769927978516
6135,Murray St.,68,Illinois St.,74,Murray St.,43.1328125,-6,37.1328125
6136,North Dakota St.,85,St. Thomas (MN),89,North Dakota St.,40.30677032470703,-4,36.30677032470703
6137,Minnesota,61,Purdue,81,Minnesota,58.23876953125,-20,38.23876953125
6138,Northern Colo.,89,Weber St.,72,Northern Colo.,35.35505676269531,17,52.35505676269531
6139,Tennessee Tech,68,Southern Ind.,64,Tennessee Tech,28.287002563476562,4,32.28700256347656
6140,Eastern Ill.,78,Lindenwood,74,Eastern Ill.,27.124267578125,4,31.124267578125
6141,Indiana,84,Rutgers,74,Indiana,46.2373046875,10,56.2373046875
6142,UT Martin,56,Little Rock,57,UT Martin,34.154296875,-1,33.154296875
6143,Tennessee St.,65,Southeast Mo. St.,67,Tennessee St.,32.300872802734375,-2,30.300872802734375
6144,Central Ark.,83,Eastern Ky.,89,Central Ark.,38.5,-6,32.5
6145,Gonzaga,81,Portland,50,Gonzaga,30.397907257080078,31,61.39790725708008
6146,SIUE,77,Western Ill.,66,SIUE,26.802143096923828,11,37.80214309692383
6147,South Dakota St.,91,Denver,70,South Dakota St.,27.0,21,48.0
6148,Eastern Wash.,81,Montana,92,Eastern Wash.,36.04423522949219,-11,25.044235229492188
6149,New Mexico St.,75,Sam Houston,71,New Mexico St.,38.53125,4,42.53125
6150,UTEP,70,Louisiana Tech,60,UTEP,43.89247131347656,10,53.89247131347656
6151,Idaho,69,Montana St.,64,Idaho,37.69123840332031,5,42.69123840332031
6152,CSU Bakersfield,75,UC Davis,64,CSU Bakersfield,37.3125,11,48.3125
6153,Washington,75,Maryland,69,Washington,57.875,6,63.875
6154,Long Beach St.,60,UC Riverside,76,Long Beach St.,41.044342041015625,-16,25.044342041015625
6155,San Diego,80,Santa Clara,81,San Diego,48.5950927734375,-1,47.5950927734375
6156,Cal St. Fullerton,65,CSUN,95,Cal St. Fullerton,41.53125,-30,11.53125
6157,Oregon,77,Illinois,109,Oregon,65.25,-32,33.25
6158,LMU (CA),82,Oregon St.,61,LMU (CA),50.53125,21,71.53125
6159,Pacific,81,San Francisco,89,Pacific,49.37135601043701,-8,41.37135601043701
6160,Saint Mary's (CA),71,Pepperdine,41,Saint Mary's (CA),37.52598190307617,30,67.52598190307617
6161,Hawaii,61,UC Santa Barbara,64,Hawaii,41.879302978515625,-3,38.879302978515625
6162,Merrimack,67,Fairfield,54,Merrimack,31.90625,13,44.90625
6163,Bowling Green,68,Akron,71,Bowling Green,43.50798988342285,-3,40.50798988342285
6164,LIU,78,Le Moyne,62,LIU,23.8787841796875,16,39.8787841796875
6165,Iona,65,Marist,70,Iona,39.359375,-5,34.359375
6166,Saint Francis,59,Central Conn. St.,74,Saint Francis,39.494476318359375,-15,24.494476318359375
6167,Mercyhurst,76,Stonehill,69,Mercyhurst,29.0,7,36.0
6168,Wagner,52,Chicago St.,64,Wagner,20.447998046875,-12,8.447998046875
6169,Siena,103,Manhattan,95,Siena,32.11865234375,8,40.11865234375
6170,Saint Peter's,46,Quinnipiac,59,Saint Peter's,37.046958923339844,-13,24.046958923339844
6171,Temple,91,Wichita St.,85,Temple,41.0,6,47.0
6172,Wisconsin,116,Iowa,85,Wisconsin,56.85523223876953,31,87.85523223876953
6173,Ohio St.,62,Michigan St.,69,Ohio St.,59.0,-7,52.0
6174,Georgetown,69,Xavier,63,Georgetown,56.079010009765625,6,62.079010009765625
6175,Marquette,79,Creighton,71,Marquette,55.25,8,63.25
6176,Saint Louis,73,Saint Joseph's,57,Saint Louis,47.125,16,63.125
6177,New Mexico,82,Nevada,81,New Mexico,50.19791030883789,1,51.19791030883789
6178,Kentucky,106,Florida,100,Kentucky,60.25,6,66.25
6179,Princeton,92,Kean,71,Princeton,,21,
6180,Ole Miss,63,Georgia,51,Ole Miss,52.610870361328125,12,64.61087036132812
6181,Northeastern,37,Hofstra,55,Northeastern,41.339805603027344,-18,23.339805603027344
6182,Villanova,100,DePaul,56,Villanova,45.95645523071289,44,89.95645523071289
6183,Western Mich.,70,Toledo,76,Western Mich.,41.0,-6,35.0
6184,Georgia Tech,85,Boston College,64,Georgia Tech,33.0,21,54.0
6185,George Washington,82,Dayton,62,George Washington,54.8515625,20,74.8515625
6186,Stony Brook,76,William & Mary,83,Stony Brook,36.697662353515625,-7,29.697662353515625
6187,Wake Forest,77,NC State,59,Wake Forest,48.26335144042969,18,66.26335144042969
6188,Notre Dame,73,North Carolina,74,Notre Dame,55.800048828125,-1,54.800048828125
6189,West Virginia,69,Oklahoma St.,50,West Virginia,39.90119171142578,19,58.90119171142578
6190,Massachusetts,64,Richmond,72,Massachusetts,37.78327751159668,-8,29.78327751159668
6191,New Hampshire,40,Vermont,60,New Hampshire,35.376458168029785,-20,15.376458168029785
6192,Queens (NC),92,FGCU,83,Queens (NC),40.40625,9,49.40625
6193,Miami (OH),93,Buffalo,79,Miami (OH),29.031980514526367,14,43.03198051452637
6194,Detroit Mercy,56,Milwaukee,64,Detroit Mercy,40.72235107421875,-8,32.72235107421875
6195,Kent St.,67,Ball St.,75,Kent St.,30.5,-8,22.5
6196,Tennessee,76,Arkansas,52,Tennessee,50.15625,24,74.15625
6197,App State,72,Texas St.,61,App State,42.94099426269531,11,53.94099426269531
6198,The Citadel,68,Chattanooga,81,The Citadel,40.09202003479004,-13,27.09202003479004
6199,Northern Ky.,78,Green Bay,60,Northern Ky.,26.0,18,44.0
6200,West Ga.,62,Stetson,78,West Ga.,28.75,-16,12.75
6201,Houston,86,BYU,55,Houston,54.12101936340332,31,85.12101936340332
6202,Central Ark.,71,Bellarmine,65,Central Ark.,24.193302154541016,6,30.193302154541016
