,year,team1,team1_score,team2,team2_score
533,2025,SIUE,77,Indiana St.,72
534,2025,Mary Baldwin,52,James Madison,100
535,2025,UIC,74,Northwestern,83
536,2025,Gwynedd Mercy,54,Delaware St.,70
537,2025,Norfolk St.,73,William & Mary,84
538,2025,Fairfield,62,New Hampshire,56
539,2025,Franklin Pierce,73,Rhode Island,105
540,2025,Christendom,56,VMI,102
541,2025,Ark.-Pine Bluff,69,South Fla.,85
542,2025,N.C. Central,60,High Point,76
543,2025,LeTourneau,68,SFA,87
544,2025,Southeastern La.,59,Mississippi St.,80
545,2025,Texas Southern,62,Georgia Tech,81
546,2025,Rhodes,52,Samford,108
547,2025,ULM,50,Rice,66
548,2025,Cleveland St.,75,Valparaiso,67
549,2025,South Alabama,54,Ole Miss,64
550,2025,Texas St.,71,TCU,76
551,2025,Ohio,75,Illinois St.,85
552,2025,UTSA,72,Bradley,85
553,2025,Little Rock,63,Arkansas St.,80
554,2025,Belmont,80,Lipscomb,79
555,2025,Sam Houston,67,Baylor,104
556,2025,Chicago St.,58,Texas,105
557,2025,McMurry,55,Abilene Christian,101
558,2025,Loyola (LA),65,Southern Miss.,104
559,2025,Prairie View,81,UIW,84
560,2025,Campbellsville,76,Western Ky.,104
561,2025,Colo. Christian,56,Northern Colo.,113
562,2025,Bethesda (CA),54,Southern Utah,107
563,2025,Jackson St.,57,Xavier,94
564,2025,Queens (NC),65,Utah,96
565,2025,Corban,65,Boise St.,100
566,2025,Denver,65,Colorado St.,74
567,2025,Tex. Permian Basin,58,UTEP,78
568,2025,Duke,72,Kentucky,77
569,2025,A&M-Corpus Christi,81,New Mexico,100
570,2025,Menlo,70,UC Davis,80
571,2025,South Dakota,77,Iowa,96
572,2025,Northern Ariz.,64,Stanford,90
573,2025,Sacramento St.,54,UC San Diego,64
574,2025,Portland St.,85,San Diego,76
575,2025,UC Riverside,70,California Baptist,69
576,2025,Occidental,49,San Diego St.,100
577,2025,Akron,68,Saint Mary's (CA),87
578,2025,Portland,70,Oregon,80
579,2025,Western Ore.,58,Oregon St.,94
580,2025,UAlbany,87,Dartmouth,73
581,2025,Louisiana Tech,76,Massachusetts,66
582,2025,Southern Ind.,71,Bellarmine,69
583,2025,Wagner,45,St. John's (NY),66
584,2025,Montana,57,Tennessee,92
585,2025,Canisius,52,Mercyhurst,62
586,2025,Georgia St.,67,Jacksonville St.,72
587,2025,Harvard,56,Northeastern,78
588,2025,Milwaukee,62,Longwood,76
589,2025,St. Bonaventure,74,FGCU,65
590,2025,Ball St.,69,Dayton,77
591,2025,Bryan,59,Kennesaw St.,94
592,2025,Wofford,68,Presbyterian,71
593,2025,Mount St. Mary's,93,Bucknell,89
594,2025,Le Moyne,49,UConn,90
595,2025,Central Mich.,70,George Mason,69
596,2025,Tennessee St.,84,Howard,88
597,2025,Newberry,40,Campbell,83
598,2025,Wright St.,77,Toledo,86
599,2025,Richmond,48,Charlotte,65
600,2025,Truett-McConnell,64,Western Caro.,99
601,2025,USC Upstate,80,Wake Forest,85
602,2025,Emerson,46,Yale,100
603,2025,Tusculum,54,ETSU,82
604,2025,Trinity Baptist,43,Mercer,101
605,2025,Coastal Carolina,70,NC State,82
606,2025,Merrimack,42,VCU,63
607,2025,Evansville,63,Middle Tenn.,80
608,2025,Crowley's Ridge,38,Southeast Mo. St.,93
609,2025,Southern U.,68,East Texas A&M,70
610,2025,Randall,49,Central Ark.,108
611,2025,Oral Roberts,76,Tulsa,85
612,2025,California,69,Vanderbilt,85
613,2025,Seton Hall,48,Hofstra,49
614,2025,Green Bay,87,Western Ill.,73
615,2025,North Texas,54,Minnesota,51
616,2025,Louisiana,45,Houston,91
617,2025,Kent St.,56,Auburn,79
618,2025,Troy,49,Arkansas,65
619,2025,Fisk,69,Alabama A&M,103
620,2025,FDU,60,Nebraska,86
621,2025,Wyoming,49,Texas Tech,96
622,2025,Cal St. Fullerton,53,Colorado,83
623,2025,Bethesda (CA),59,Utah Tech,90
624,2025,Queens (NC),55,BYU,99
