,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
168,fanduel,Grambling,6.780254405414862,-25.473684210526315,0.2822966507177033,8.2275390625,164,Alabama St.,6.780254405414862,0.7177033492822966,-8.2275390625,-205,Grambling St Tigers,Alabama St Hornets
91,fanduel,Saint Peter's,6.725146198830409,-24.245614035087712,0.2982456140350877,5.0166015625,154,Manhattan,6.725146198830409,0.7017543859649122,-5.0166015625,-192,Saint Peter's Peacocks,Manhattan Jaspers
219,fanduel,Illinois St.,6.706994328922491,6.706994328922491,0.3705103969754253,6.60546875,188,UNI,-9.681926522561028,0.6294896030245747,-6.60546875,-230,Illinois St Redbirds,Northern Iowa Panthers
201,draftkings,Bethune-Cookman,6.4834899975897855,6.4834899975897855,0.6117136659436009,-3.7890625,-135,Prairie View,-16.90672451193059,0.3882863340563991,3.7890625,114,Bethune-Cookman Wildcats,Prairie View Panthers
105,fanduel,UIC,6.428712285545252,6.428712285545252,0.5574837310195228,-2.36328125,-110,Southern Ill.,-15.519621376454346,0.44251626898047725,2.36328125,-110,UIC Flames,Southern Illinois Salukis
280,draftkings,UTEP,6.37119113573408,6.37119113573408,0.5318559556786704,-1.671875,100,New Mexico St.,-14.173591874422897,0.46814404432132967,1.671875,-120,UTEP Miners,New Mexico St Aggies
260,draftkings,Montana St.,6.304347826086953,6.304347826086953,0.33747412008281574,6.0234375,215,Northern Colo.,-8.746435407633108,0.6625258799171843,-6.0234375,-265,Montana St Bobcats,N Colorado Bears
107,fanduel,Kansas,6.183878233567679,6.183878233567679,0.6853002070393375,-8.36328125,-182,Kansas St.,-21.325051759834366,0.3146997929606625,8.36328125,150,Kansas Jayhawks,Kansas St Wildcats
46,draftkings,App State,5.959183673469383,5.959183673469383,0.4013605442176871,3.625,164,Ohio,-9.901738473167043,0.5986394557823129,-3.625,-198,Appalachian St Mountaineers,Ohio Bobcats
267,draftkings,East Carolina,5.9166666666666785,-12.999999999999993,0.48333333333333334,0.4091796875,-125,UTSA,5.9166666666666785,0.5166666666666667,-0.4091796875,105,East Carolina Pirates,UTSA Roadrunners
244,draftkings,Iona,5.91096146651703,-21.77777777777778,0.2962962962962963,6.8974609375,164,Marist,5.91096146651703,0.7037037037037037,-6.8974609375,-198,Iona Gaels,Marist Red Foxes
262,draftkings,South Dakota,5.8490311558692625,5.8490311558692625,0.5729442970822282,-2.3671875,-118,Oral Roberts,-15.426223539813805,0.4270557029177719,2.3671875,-102,South Dakota Coyotes,Oral Roberts Golden Eagles
176,fanduel,Western Ill.,5.759637188208615,5.759637188208615,0.24036281179138322,9.2890625,340,UT Martin,-7.873787812997538,0.7596371882086168,-9.2890625,-470,Western Illinois Leathernecks,Tenn-Martin Skyhawks
12,draftkings,Fla. Atlantic,5.714285714285737,-8.48842681726778,0.6643990929705216,-5.369140625,-265,Tulsa,5.714285714285737,0.3356009070294785,5.369140625,215,Florida Atlantic Owls,Tulsa Golden Hurricane
150,draftkings,Sam Houston,5.583333333333336,-48.7,0.095,15.58203125,440,Liberty,5.583333333333336,0.905,-15.58203125,-600,Sam Houston St Bearkats,Liberty Flames
164,draftkings,Western Caro.,5.311355311355314,-70.1923076923077,0.038461538461538464,21.4013671875,675,UNC Greensboro,5.311355311355314,0.9615384615384616,-21.4013671875,-1050,Western Carolina Catamounts,UNC Greensboro Spartans
221,fanduel,North Dakota,5.0784739058313235,-19.462039045553155,0.3383947939262473,6.916015625,138,Kansas City,5.0784739058313235,0.6616052060737527,-6.916015625,-170,North Dakota Fighting Hawks,UMKC Kangaroos
83,draftkings,Stonehill,5.062196034418264,-17.310606060606062,0.3503787878787879,5.0712890625,136,LIU,5.062196034418264,0.6496212121212122,-5.0712890625,-162,Stonehill Skyhawks,LIU Sharks
85,fanduel,Louisiana,5.055843637814128,5.055843637814128,0.5619266055045872,-2.3447265625,-115,NIU,-14.471384884228932,0.4380733944954128,2.3447265625,-105,Louisiana Ragin' Cajuns,Northern Illinois Huskies
263,fanduel,South Dakota,5.039787798408497,5.039787798408497,0.5729442970822282,-2.3671875,-120,Oral Roberts,-15.426223539813805,0.4270557029177719,2.3671875,-102,South Dakota Coyotes,Oral Roberts Golden Eagles
205,fanduel,BYU,4.950413223140494,4.950413223140494,0.5144628099173554,-0.763671875,104,Cincinnati,-12.603305785123965,0.4855371900826446,0.763671875,-125,BYU Cougars,Cincinnati Bearcats
165,fanduel,UNLV,4.94047619047619,-11.714975845410628,0.5119047619047619,-0.5634765625,-138,Wyoming,4.94047619047619,0.4880952380952381,0.5634765625,115,UNLV Rebels,Wyoming Cowboys
75,fanduel,William & Mary,4.932118920776766,-14.342179559570866,0.43873517786561267,2.7509765625,-105,Delaware,4.932118920776766,0.5612648221343873,-2.7509765625,-115,William & Mary Tribe,Delaware Blue Hens
76,draftkings,William & Mary,4.932118920776766,-14.342179559570866,0.43873517786561267,2.7509765625,-105,Delaware,4.932118920776766,0.5612648221343873,-2.7509765625,-115,William & Mary Tribe,Delaware Blue Hens
78,draftkings,UNCW,4.926072317376658,4.926072317376658,0.6027667984189723,-3.5888671875,-135,Drexel,-14.992094861660092,0.39723320158102765,3.5888671875,114,UNC Wilmington Seahawks,Drexel Dragons
66,fanduel,Saint Francis,4.911514519440736,4.911514519440736,0.5765407554671969,-2.1240234375,-122,Chicago St.,-15.308151093439363,0.4234592445328032,2.1240234375,100,St. Francis (PA) Red Flash,Chicago St Cougars
24,draftkings,Michigan,4.75247524752475,-10.412008942829765,0.5445544554455446,-2.421875,-155,Indiana,4.75247524752475,0.45544554455445546,2.421875,130,Michigan Wolverines,Indiana Hoosiers
155,draftkings,East Texas A&M,4.746376811594205,-44.826086956521735,0.10217391304347827,14.767578125,440,Nicholls,4.746376811594205,0.8978260869565218,-14.767578125,-600,Texas A&M-Commerce Lions,Nicholls St Colonels
261,fanduel,Montana St.,4.616977225672883,4.616977225672883,0.33747412008281574,6.0234375,210,Northern Colo.,-8.746435407633108,0.6625258799171843,-6.0234375,-265,Montana St Bobcats,N Colorado Bears
129,draftkings,Ark.-Pine Bluff,4.610389610389605,-35.04761904761905,0.14761904761904762,15.609375,340,Alcorn,4.610389610389605,0.8523809523809524,-15.609375,-440,Arkansas-Pine Bluff Golden Lions,Alcorn St Braves
27,draftkings,Navy,4.545454545454554,-14.09090909090908,0.4090909090909091,3.6796875,110,Lafayette,4.545454545454554,0.5909090909090909,-3.6796875,-130,Navy Midshipmen,Lafayette Leopards
149,fanduel,Sam Houston,4.423076923076927,-46.8,0.095,15.58203125,460,Liberty,4.423076923076927,0.905,-15.58203125,-650,Sam Houston St Bearkats,Liberty Flames
