,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
402,2023-11-11,Montana St.,68,Seattle U,71,Seattle U,25.96875,-3,27.96875
403,2023-11-11,Asbury,74,Lipscomb,113,Lipscomb,24.125,-39,-9.875
404,2023-11-11,Drexel,74,Winthrop,72,Winthrop,16.875,2,23.875
405,2023-11-11,UT Tyler,64,UT Arlington,95,UT Arlington,15.7578125,-31,-10.2421875
406,2023-11-11,Ohio,78,Cleveland St.,82,Cleveland St.,18.09375,-4,19.09375
407,2023-11-11,Milwaukee,69,Providence,79,Providence,27.921875,-10,22.921875
408,2023-11-11,Fresno St.,69,Kent St.,79,Kent St.,20.171875,-10,15.171875
409,2023-11-11,Plattsburgh St.,41,Vermont,92,Vermont,19.5859375,-51,-26.4140625
410,2023-11-11,Bucknell,73,Niagara,64,Niagara,10.0,9,24.0
411,2023-11-11,UAlbany,78,Columbia,75,Columbia,12.9453125,3,20.9453125
412,2023-11-11,Louisiana,78,Toledo,87,Toledo,21.765625,-9,17.765625
413,2023-11-11,Stetson,55,UNLV,71,UNLV,21.671875,-16,10.671875
414,2023-11-11,Saint Francis (PA),59,Santa Clara,82,Santa Clara,23.109375,-23,5.109375
415,2023-11-11,St. Mary (KS),42,Kansas City,95,Kansas City,7.8125,-53,-40.1875
416,2023-11-11,Southwestern Christ.,68,Ark.-Pine Bluff,112,Ark.-Pine Bluff,5.4375,-44,-33.5625
417,2023-11-11,Holy Cross,68,Georgetown,67,Georgetown,17.0,1,23.0
418,2023-11-11,Siena,48,Richmond,90,Richmond,23.6875,-42,-13.3125
419,2023-11-11,Illinois St.,71,Saint Louis,80,Saint Louis,21.5,-9,17.5
420,2023-11-11,UNT Dallas,52,Tarleton St.,93,Tarleton St.,20.0546875,-41,-15.9453125
421,2023-11-11,Eastern Ill.,65,Loyola Chicago,89,Loyola Chicago,15.765625,-24,-3.234375
422,2023-11-11,Utah St.,66,Bradley,72,Bradley,20.65625,-6,19.65625
