,year,date,team1,team1_score,team2,team2_score
384,2024,2023-11-11,UNCW,83,UNC Asheville,66
385,2024,2023-11-11,Western Caro.,71,Notre Dame,61
386,2024,2023-11-11,Old Dominion,68,Ball St.,73
387,2024,2023-11-11,North Dakota St.,60,Creighton,89
388,2024,2023-11-11,St. Mary's (MD),43,Longwood,95
389,2024,2023-11-11,Utah Tech,81,Jacksonville St.,79
390,2024,2023-11-11,UIW,71,Tulsa,85
391,2024,2023-11-11,Cairn,65,UMES,83
392,2024,2023-11-11,Marist,65,UMBC,59
393,2024,2023-11-11,Northeastern,74,La Salle,79
394,2024,2023-11-11,Texas Southern,52,Arizona St.,63
395,2024,2023-11-11,App State,78,NIU,91
396,2024,2023-11-11,Coppin St.,60,Mount St. Mary's,74
397,2024,2023-11-11,FDU,55,Seton Hall,85
398,2024,2023-11-11,Saint Peter's,75,NJIT,48
399,2024,2023-11-11,Canisius,70,St. Bonaventure,67
400,2024,2023-11-11,Southern-N.O.,69,New Orleans,106
401,2024,2023-11-11,UT Martin,63,Mississippi St.,87
402,2024,2023-11-11,Montana St.,68,Seattle U,71
403,2024,2023-11-11,Asbury,74,Lipscomb,113
404,2024,2023-11-11,Drexel,74,Winthrop,72
405,2024,2023-11-11,UT Tyler,64,UT Arlington,95
406,2024,2023-11-11,Ohio,78,Cleveland St.,82
407,2024,2023-11-11,Milwaukee,69,Providence,79
408,2024,2023-11-11,Fresno St.,69,Kent St.,79
409,2024,2023-11-11,Plattsburgh St.,41,Vermont,92
410,2024,2023-11-11,Bucknell,73,Niagara,64
411,2024,2023-11-11,UAlbany,78,Columbia,75
412,2024,2023-11-11,Louisiana,78,Toledo,87
413,2024,2023-11-11,Stetson,55,UNLV,71
414,2024,2023-11-11,Saint Francis (PA),59,Santa Clara,82
415,2024,2023-11-11,St. Mary (KS),42,Kansas City,95
416,2024,2023-11-11,Southwestern Christ.,68,Ark.-Pine Bluff,112
417,2024,2023-11-11,Holy Cross,68,Georgetown,67
418,2024,2023-11-11,Siena,48,Richmond,90
419,2024,2023-11-11,Illinois St.,71,Saint Louis,80
420,2024,2023-11-11,UNT Dallas,52,Tarleton St.,93
421,2024,2023-11-11,Eastern Ill.,65,Loyola Chicago,89
422,2024,2023-11-11,Utah St.,66,Bradley,72
423,2024,2023-11-11,Omaha,64,North Texas,75
424,2024,2023-11-11,Cal Poly,66,Wyoming,80
425,2024,2023-11-11,Long Beach St.,77,DePaul,73
426,2024,2023-11-11,San Diego,63,UC San Diego,69
427,2024,2023-11-11,New Mexico St.,74,UC Irvine,91
428,2024,2023-11-11,La Sierra,48,Cal St. Fullerton,78
429,2024,2023-11-12,Bryant,57,Rutgers,66
430,2024,2023-11-12,Penn St.-Wilkes Barre,60,Morgan St.,78
431,2024,2023-11-12,Eastern Wash.,73,Cincinnati,85
432,2024,2023-11-12,Maryland,63,UAB,66
433,2024,2023-11-12,Idaho St.,55,Iowa St.,86
434,2024,2023-11-12,Air Force,57,Delaware,65
435,2024,2023-11-12,Friends,65,Wichita St.,95
436,2024,2023-11-12,Elon,68,North Dakota,85
437,2024,2023-11-12,San Jose St.,42,Texas Tech,56
438,2024,2023-11-12,Lehigh,68,North Carolina,90
439,2024,2023-11-12,Tex. A&M-Commerce,64,Purdue Fort Wayne,86
440,2024,2023-11-12,Davidson,65,Clemson,68
441,2024,2023-11-12,Sam Houston,70,Oklahoma St.,85
442,2024,2023-11-12,Merrimack,71,Maine,65
443,2024,2023-11-12,Howard,86,James Madison,107
444,2024,2023-11-12,Lafayette,53,Pepperdine,76
445,2024,2023-11-12,San Francisco,58,Boise St.,63
446,2024,2023-11-12,CarolinaU,48,USC Upstate,106
447,2024,2023-11-12,St. Ambrose,59,Western Ill.,94
448,2024,2023-11-12,Chicago St.,78,Southern Ind.,67
449,2024,2023-11-12,East. Mennonite,47,Radford,84
450,2024,2023-11-12,Gardner-Webb,62,Baylor,77
451,2024,2023-11-12,N.C. Central,54,Georgia,64
452,2024,2023-11-12,North Central (MN),54,St. Thomas (MN),100
453,2024,2023-11-12,Linfield,53,Portland St.,70
454,2024,2023-11-12,UC Riverside,65,Portland,76
455,2024,2023-11-12,Northern Ariz.,55,Grand Canyon,89
456,2024,2023-11-12,Yale,83,LMU (CA),80
457,2024,2023-11-12,Bard,36,Columbia,86
458,2024,2023-11-12,Keystone,50,Binghamton,104
459,2024,2023-11-12,Robert Morris,62,Towson,66
460,2024,2023-11-12,Army West Point,64,Indiana,72
461,2024,2023-11-12,Weber St.,61,Saint Mary's (CA),57
462,2024,2023-11-12,UC Davis,65,Montana,78
463,2024,2023-11-12,Nevada,83,Washington,76
464,2024,2023-11-13,Ohio Christian,71,Youngstown St.,99
465,2024,2023-11-13,Michigan,89,St. John's (NY),73
466,2024,2023-11-13,FGCU,74,Pittsburgh,86
467,2024,2023-11-13,North Florida,77,South Carolina St.,87
468,2024,2023-11-13,Hampton,68,Norfolk St.,75
469,2024,2023-11-13,Mt. St. Mary (NY),45,Fairfield,92
470,2024,2023-11-13,Central Mich.,67,Florida St.,94
471,2024,2023-11-13,The Citadel,64,Presbyterian,71
472,2024,2023-11-13,ETSU,47,Butler,81
